구/군,동,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,지하철역 개수
중구,동인동,"10,510","10,390","10,633","10,596","10,353","10,001","9,238","8,525","8,053","7,579","8,372",0
중구,삼덕동,"6,530","6,740","6,784","6,754","6,602","6,600","6,597","6,736","6,587","6,405","6,643",1
중구,"성내1,2동","9,915","9,759","9,589","9,407","9,427","9,458","9,261","9,252","9,029","9,315","10,533",3
중구,성내3동,"3,873","3,778","3,648","3,587","5,369","5,909","5,312","5,158","4,791","4,847","9,030",1
중구,대신동,"4,929","4,777","7,509","7,529","7,468","8,323","8,341","8,094","7,857","7,494","7,558",1
중구,남산동,"28,737","28,369","27,893","27,459","26,771","26,710","26,585","26,184","25,810","28,603","30,801",2
중구,대봉1동,"7,635","7,600","7,764","8,299","8,172","7,834","7,757","7,654","6,919","7,701","7,823",0
중구,대봉2동,"4,117","3,965","3,772","3,192","2,848","2,744","2,550","2,394","1,903","4,694","4,687",0
수성구,범어1동,"18,769","18,672","18,272","18,275","17,983","16,915","16,733","16,384","16,731","16,227","16,025",2
수성구,범어2동,"15,249","15,352","15,225","15,112","15,957","16,163","15,568","16,048","15,579","15,010","14,714",0
수성구,범어3동,"12,536","12,535","14,256","14,741","14,782","14,604","16,330","16,445","16,171","17,016","17,567",0
수성구,범어4동,"20,039","20,286","19,448","18,518","17,797","18,799","19,090","18,996","19,961","19,836","19,573",1
수성구,만촌동,"60,445","59,950","59,077","59,425","58,967","57,719","57,606","57,943","56,700","55,949","57,038",2
수성구,수성1가동,"18,070","17,785","19,725","20,050","19,600","19,313","19,112","18,767","18,024","17,372","17,272",0
수성구,수성2.3가동,"13,613","13,637","13,404","13,255","12,953","12,673","12,475","12,207","11,899","11,383","10,926",1
수성구,수성4가동,"17,379","17,223","16,876","16,569","16,413","16,002","15,753","15,199","14,625","13,945","13,510",1
수성구,황금동,"38,682","38,755","38,749","38,412","38,248","38,013","37,278","36,940","36,608","37,872","37,468",1
수성구,중동,"13,517","13,206","13,024","12,626","11,810","11,057","10,388","11,350","11,020","12,567","13,084",0
수성구,상동,"17,991","18,475","18,499","18,186","17,652","17,290","17,055","16,938","16,318","15,767","15,097",0
수성구,파동,"15,085","15,077","14,891","15,121","15,288","14,867","13,845","12,821","12,574","12,089","13,307",0
